image_id,fname,mask,distancing,5k,n_people,fold
59,59.jpg,1.0,0.0,0.0,8.0,4.0
60,60.jpg,0.0,0.0,0.0,20.0,0.0
61,61.jpg,0.0,0.0,0.0,8.0,4.0
62,62.jpg,0.0,0.0,0.0,19.0,3.0
63,63.jpg,1.0,1.0,1.0,1.0,0.0
64,64.jpg,1.0,1.0,1.0,5.0,0.0
65,65.jpg,1.0,1.0,1.0,15.0,4.0
66,66.jpg,1.0,0.0,0.0,8.0,0.0
67,67.jpg,1.0,1.0,1.0,9.0,0.0
68,68.jpg,0.0,1.0,0.0,6.0,3.0
69,69.jpg,0.0,0.0,0.0,15.0,1.0
70,70.jpg,1.0,1.0,1.0,8.0,0.0
71,71.jpg,0.0,0.0,0.0,5.0,0.0
72,72.jpg,0.0,1.0,0.0,2.0,2.0
73,73.jpg,1.0,0.0,0.0,11.0,3.0
74,74.jpg,1.0,1.0,1.0,3.0,1.0
75,75.jpg,1.0,1.0,1.0,3.0,3.0
76,76.jpg,0.0,0.0,0.0,11.0,1.0
77,77.jpg,1.0,1.0,1.0,2.0,4.0
78,78.jpg,1.0,0.0,0.0,12.0,0.0
79,79.jpg,0.0,1.0,0.0,7.0,0.0
80,80.jpg,1.0,1.0,1.0,5.0,3.0
81,81.jpg,0.0,0.0,0.0,4.0,2.0
84,84.jpg,1.0,1.0,1.0,2.0,2.0
85,85.jpg,1.0,0.0,0.0,9.0,3.0
86,86.jpg,1.0,0.0,0.0,7.0,2.0
87,87.jpg,1.0,0.0,0.0,6.0,0.0
88,88.jpg,1.0,1.0,1.0,5.0,4.0
89,89.jpg,0.0,1.0,0.0,19.0,4.0
90,90.jpg,0.0,0.0,0.0,7.0,0.0
91,91.jpg,1.0,0.0,0.0,9.0,2.0
92,92.jpg,1.0,1.0,1.0,5.0,2.0
93,93.jpg,0.0,0.0,0.0,2.0,1.0
94,94.jpg,0.0,1.0,0.0,0.0,2.0
95,95.jpg,1.0,0.0,0.0,4.0,3.0
96,96.jpg,0.0,0.0,0.0,8.0,2.0
97,97.jpg,0.0,1.0,0.0,2.0,0.0
98,98.jpg,0.0,0.0,0.0,26.0,3.0
100,100.jpg,0.0,1.0,0.0,9.0,3.0
101,101.jpg,0.0,0.0,0.0,15.0,3.0
102,102.jpg,1.0,0.0,0.0,9.0,3.0
103,103.jpg,1.0,0.0,0.0,8.0,2.0
104,104.jpg,0.0,1.0,0.0,2.0,2.0
105,105.jpg,0.0,0.0,0.0,19.0,1.0
106,106.jpg,0.0,1.0,0.0,5.0,4.0
107,107.jpg,0.0,1.0,0.0,5.0,4.0
108,108.jpg,1.0,1.0,1.0,20.0,4.0
109,109.jpg,0.0,1.0,0.0,11.0,0.0
110,110.jpg,1.0,1.0,1.0,6.0,2.0
111,111.jpg,0.0,0.0,0.0,5.0,1.0
112,112.jpg,1.0,0.0,0.0,3.0,1.0
113,113.jpg,1.0,1.0,1.0,12.0,4.0
114,114.jpg,0.0,1.0,0.0,1.0,4.0
115,115.jpg,1.0,0.0,0.0,6.0,1.0
116,116.jpg,0.0,1.0,0.0,4.0,1.0
117,117.jpg,0.0,0.0,0.0,4.0,4.0
118,118.jpg,1.0,0.0,0.0,9.0,1.0
119,119.jpg,1.0,1.0,1.0,8.0,0.0
120,120.jpg,1.0,0.0,0.0,20.0,4.0
121,121.jpg,1.0,0.0,0.0,15.0,3.0
122,122.jpg,0.0,0.0,0.0,12.0,0.0
123,123.jpg,1.0,0.0,0.0,12.0,2.0
124,124.jpg,0.0,0.0,0.0,16.0,0.0
125,125.jpg,1.0,0.0,0.0,6.0,3.0
126,126.jpg,1.0,1.0,1.0,5.0,2.0
127,127.jpg,1.0,1.0,1.0,4.0,0.0
128,128.jpg,0.0,0.0,0.0,25.0,2.0
129,129.jpg,0.0,1.0,0.0,4.0,0.0
130,130.jpg,0.0,0.0,0.0,10.0,0.0
131,131.jpg,0.0,1.0,0.0,14.0,2.0
132,132.jpg,1.0,1.0,1.0,6.0,2.0
133,133.jpg,0.0,0.0,0.0,11.0,4.0
134,134.jpg,1.0,1.0,1.0,10.0,2.0
135,135.jpg,0.0,0.0,0.0,12.0,2.0
136,136.jpg,0.0,0.0,0.0,11.0,3.0
137,137.jpg,1.0,1.0,1.0,4.0,4.0
138,138.jpg,0.0,0.0,0.0,4.0,2.0
139,139.jpg,1.0,1.0,1.0,5.0,0.0
140,140.jpg,1.0,0.0,0.0,7.0,1.0
141,141.jpg,1.0,0.0,0.0,10.0,0.0
142,142.jpg,1.0,0.0,0.0,7.0,2.0
144,144.jpg,0.0,0.0,0.0,17.0,0.0
145,145.jpg,0.0,0.0,0.0,11.0,1.0
146,146.jpg,1.0,0.0,0.0,16.0,4.0
147,147.jpg,0.0,0.0,0.0,10.0,4.0
148,148.jpg,1.0,1.0,1.0,4.0,1.0
149,149.jpg,0.0,1.0,0.0,11.0,1.0
150,150.jpg,0.0,0.0,0.0,11.0,3.0
151,151.jpg,1.0,1.0,1.0,3.0,1.0
152,152.jpg,1.0,0.0,0.0,5.0,3.0
153,153.jpg,1.0,1.0,1.0,7.0,4.0
154,154.jpg,0.0,0.0,0.0,4.0,1.0
155,155.jpg,0.0,1.0,0.0,1.0,1.0
156,156.jpg,0.0,0.0,0.0,20.0,0.0
157,157.jpg,0.0,1.0,0.0,20.0,2.0
158,158.jpg,1.0,1.0,1.0,1.0,0.0
159,159.jpg,1.0,1.0,1.0,3.0,2.0
160,160.jpg,1.0,1.0,1.0,7.0,2.0
161,161.jpg,1.0,0.0,0.0,10.0,1.0
162,162.jpg,1.0,0.0,0.0,13.0,0.0
163,163.jpg,0.0,0.0,0.0,17.0,2.0
164,164.jpg,1.0,1.0,1.0,4.0,4.0
165,165.jpg,1.0,1.0,1.0,4.0,4.0
166,166.jpg,1.0,1.0,1.0,13.0,4.0
167,167.jpg,0.0,0.0,0.0,19.0,0.0
168,168.jpg,0.0,0.0,0.0,17.0,3.0
169,169.jpg,0.0,0.0,0.0,11.0,1.0
170,170.jpg,1.0,0.0,0.0,5.0,2.0
171,171.jpg,1.0,1.0,1.0,2.0,2.0
172,172.jpg,1.0,0.0,0.0,10.0,3.0
173,173.jpg,1.0,1.0,1.0,8.0,1.0
174,174.jpg,0.0,0.0,0.0,12.0,2.0
175,175.jpg,1.0,0.0,0.0,5.0,3.0
176,176.jpg,0.0,0.0,0.0,10.0,1.0
177,177.jpg,1.0,1.0,1.0,6.0,0.0
178,178.jpg,0.0,0.0,0.0,7.0,2.0
179,179.jpg,1.0,0.0,0.0,5.0,2.0
180,180.jpg,1.0,0.0,0.0,3.0,1.0
181,181.jpg,1.0,1.0,1.0,2.0,4.0
182,182.jpg,0.0,0.0,0.0,9.0,3.0
183,183.jpg,0.0,0.0,0.0,6.0,1.0
184,184.jpg,0.0,0.0,0.0,2.0,3.0
185,185.jpg,0.0,0.0,0.0,5.0,1.0
186,186.jpg,1.0,1.0,1.0,8.0,1.0
187,187.jpg,1.0,1.0,1.0,3.0,2.0
188,188.jpg,1.0,1.0,1.0,4.0,4.0
189,189.jpg,0.0,1.0,0.0,16.0,0.0
190,190.jpg,1.0,0.0,0.0,37.0,0.0
191,191.jpg,1.0,0.0,0.0,19.0,4.0
192,192.jpg,1.0,0.0,0.0,21.0,2.0
193,193.jpg,1.0,1.0,1.0,1.0,2.0
194,194.jpg,1.0,1.0,1.0,16.0,3.0
195,195.jpg,1.0,0.0,0.0,12.0,3.0
196,196.jpg,0.0,0.0,0.0,15.0,0.0
197,197.jpg,1.0,0.0,0.0,13.0,3.0
198,198.jpg,0.0,1.0,0.0,16.0,1.0
199,199.jpg,1.0,0.0,0.0,3.0,3.0
200,200.jpg,1.0,0.0,0.0,6.0,4.0
201,201.jpg,0.0,1.0,0.0,4.0,2.0
202,202.jpg,1.0,1.0,1.0,2.0,4.0
203,203.jpg,1.0,0.0,0.0,5.0,1.0
204,204.jpg,1.0,0.0,0.0,12.0,3.0
205,205.jpg,1.0,0.0,0.0,8.0,0.0
206,206.jpg,1.0,1.0,1.0,1.0,0.0
207,207.jpg,1.0,0.0,0.0,3.0,2.0
208,208.jpg,1.0,0.0,0.0,5.0,0.0
209,209.jpg,1.0,1.0,1.0,16.0,2.0
211,211.jpg,0.0,1.0,0.0,11.0,0.0
213,213.jpg,0.0,1.0,0.0,11.0,4.0
214,214.jpg,0.0,1.0,0.0,12.0,4.0
215,215.jpg,1.0,1.0,1.0,3.0,2.0
216,216.jpg,0.0,0.0,0.0,6.0,2.0
217,217.jpg,1.0,1.0,1.0,4.0,4.0
218,218.jpg,1.0,1.0,1.0,1.0,2.0
219,219.jpg,0.0,1.0,0.0,6.0,3.0
220,220.jpg,0.0,1.0,0.0,5.0,2.0
221,221.jpg,1.0,0.0,0.0,4.0,2.0
222,222.jpg,1.0,0.0,0.0,7.0,1.0
223,223.jpg,1.0,0.0,0.0,7.0,4.0
224,224.jpg,0.0,0.0,0.0,16.0,1.0
225,225.jpg,0.0,0.0,0.0,7.0,0.0
226,226.jpg,1.0,1.0,1.0,8.0,1.0
227,227.jpg,1.0,1.0,1.0,2.0,1.0
228,228.jpg,1.0,1.0,1.0,1.0,4.0
229,229.jpg,0.0,1.0,0.0,13.0,4.0
230,230.jpg,1.0,0.0,0.0,8.0,0.0
231,231.jpg,1.0,1.0,1.0,8.0,3.0
232,232.jpg,1.0,0.0,0.0,10.0,0.0
234,234.jpg,1.0,1.0,1.0,20.0,1.0
235,235.jpg,1.0,1.0,1.0,7.0,4.0
236,236.jpg,1.0,0.0,0.0,14.0,2.0
237,237.jpg,1.0,0.0,0.0,18.0,1.0
238,238.jpg,0.0,0.0,0.0,10.0,1.0
239,239.jpg,0.0,0.0,0.0,4.0,0.0
240,240.jpg,1.0,0.0,0.0,3.0,3.0
241,241.jpg,0.0,0.0,0.0,14.0,2.0
242,242.jpg,1.0,0.0,0.0,8.0,1.0
243,243.jpg,0.0,0.0,0.0,14.0,4.0
244,244.jpg,1.0,0.0,0.0,9.0,4.0
245,245.jpg,1.0,1.0,1.0,1.0,4.0
246,246.jpg,1.0,0.0,0.0,16.0,2.0
247,247.jpg,0.0,0.0,0.0,26.0,2.0
248,248.jpg,1.0,1.0,1.0,18.0,4.0
249,249.jpg,1.0,1.0,1.0,5.0,0.0
250,250.jpg,1.0,1.0,1.0,1.0,3.0
251,251.jpg,1.0,1.0,1.0,4.0,1.0
252,252.jpg,1.0,1.0,1.0,9.0,2.0
253,253.jpg,0.0,0.0,0.0,21.0,0.0
254,254.jpg,0.0,0.0,0.0,11.0,1.0
255,255.jpg,1.0,1.0,1.0,8.0,0.0
256,256.jpg,1.0,0.0,0.0,8.0,3.0
257,257.jpg,1.0,0.0,0.0,8.0,0.0
258,258.jpg,1.0,1.0,1.0,2.0,4.0
260,260.jpg,1.0,0.0,0.0,11.0,0.0
261,261.jpg,1.0,1.0,1.0,5.0,0.0
262,262.jpg,1.0,0.0,0.0,12.0,2.0
263,263.jpg,1.0,1.0,1.0,14.0,4.0
264,264.jpg,1.0,1.0,1.0,23.0,0.0
265,265.jpg,1.0,1.0,1.0,2.0,3.0
266,266.jpg,0.0,0.0,0.0,25.0,1.0
267,267.jpg,0.0,0.0,0.0,15.0,4.0
269,269.jpg,1.0,1.0,1.0,8.0,0.0
271,271.jpg,1.0,1.0,1.0,8.0,0.0
272,272.jpg,0.0,1.0,0.0,7.0,2.0
273,273.jpg,1.0,1.0,1.0,6.0,2.0
274,274.jpg,0.0,0.0,0.0,14.0,3.0
275,275.jpg,1.0,0.0,0.0,10.0,4.0
276,276.jpg,1.0,0.0,0.0,7.0,0.0
277,277.jpg,0.0,1.0,0.0,10.0,3.0
278,278.jpg,1.0,1.0,1.0,12.0,2.0
279,279.jpg,0.0,0.0,0.0,6.0,1.0
280,280.jpg,0.0,0.0,0.0,8.0,1.0
281,281.jpg,1.0,0.0,0.0,8.0,2.0
282,282.jpg,0.0,0.0,0.0,22.0,2.0
283,283.jpg,1.0,1.0,1.0,2.0,2.0
284,284.jpg,1.0,1.0,1.0,11.0,3.0
285,285.jpg,1.0,1.0,1.0,15.0,2.0
286,286.jpg,1.0,0.0,0.0,14.0,2.0
287,287.jpg,0.0,0.0,0.0,6.0,0.0
288,288.jpg,1.0,0.0,0.0,11.0,0.0
289,289.jpg,0.0,0.0,0.0,6.0,0.0
290,290.jpg,1.0,0.0,0.0,4.0,2.0
291,291.jpg,0.0,0.0,0.0,15.0,2.0
292,292.jpg,0.0,0.0,0.0,20.0,3.0
293,293.jpg,0.0,1.0,0.0,14.0,2.0
294,294.jpg,0.0,1.0,0.0,8.0,2.0
295,295.jpg,1.0,1.0,1.0,4.0,0.0
296,296.jpg,0.0,0.0,0.0,8.0,0.0
297,297.jpg,1.0,0.0,0.0,6.0,1.0
298,298.jpg,1.0,0.0,0.0,6.0,1.0
299,299.jpg,1.0,1.0,1.0,5.0,1.0
300,300.jpg,0.0,0.0,0.0,25.0,0.0
301,301.jpg,1.0,1.0,1.0,8.0,0.0
302,302.jpg,1.0,1.0,1.0,6.0,4.0
304,304.jpg,1.0,0.0,0.0,6.0,1.0
305,305.jpg,1.0,1.0,1.0,6.0,3.0
306,306.jpg,1.0,0.0,0.0,7.0,4.0
307,307.jpg,0.0,0.0,0.0,4.0,0.0
308,308.jpg,1.0,0.0,0.0,2.0,3.0
309,309.jpg,0.0,0.0,0.0,8.0,3.0
310,310.jpg,1.0,0.0,0.0,13.0,0.0
311,311.jpg,0.0,0.0,0.0,26.0,2.0
312,312.jpg,0.0,0.0,0.0,9.0,1.0
313,313.jpg,1.0,1.0,1.0,1.0,3.0
314,314.jpg,1.0,0.0,0.0,5.0,1.0
315,315.jpg,0.0,1.0,0.0,13.0,2.0
317,317.jpg,1.0,1.0,1.0,4.0,1.0
318,318.jpg,0.0,0.0,0.0,13.0,0.0
320,320.jpg,1.0,1.0,1.0,4.0,0.0
321,321.jpg,0.0,0.0,0.0,9.0,2.0
322,322.jpg,1.0,0.0,0.0,6.0,4.0
323,323.jpg,1.0,0.0,0.0,7.0,1.0
324,324.jpg,1.0,1.0,1.0,6.0,0.0
325,325.jpg,1.0,1.0,1.0,7.0,2.0
326,326.jpg,1.0,1.0,1.0,3.0,4.0
327,327.jpg,1.0,1.0,1.0,1.0,3.0
328,328.jpg,1.0,0.0,0.0,9.0,3.0
329,329.jpg,1.0,0.0,0.0,2.0,3.0
330,330.jpg,0.0,0.0,0.0,24.0,0.0
331,331.jpg,0.0,1.0,0.0,8.0,3.0
332,332.jpg,0.0,1.0,0.0,8.0,1.0
333,333.jpg,0.0,1.0,0.0,8.0,1.0
334,334.jpg,0.0,0.0,0.0,4.0,2.0
335,335.jpg,1.0,1.0,1.0,3.0,2.0
336,336.jpg,1.0,0.0,0.0,10.0,4.0
337,337.jpg,0.0,0.0,0.0,5.0,2.0
338,338.jpg,0.0,1.0,0.0,3.0,2.0
339,339.jpg,1.0,1.0,1.0,3.0,2.0
340,340.jpg,0.0,0.0,0.0,2.0,1.0
342,342.jpg,0.0,0.0,0.0,13.0,4.0
343,343.jpg,0.0,0.0,0.0,16.0,4.0
344,344.jpg,1.0,0.0,0.0,33.0,1.0
345,345.jpg,0.0,0.0,0.0,22.0,2.0
346,346.jpg,1.0,0.0,0.0,16.0,1.0
347,347.jpg,1.0,1.0,1.0,1.0,1.0
348,348.jpg,0.0,0.0,0.0,6.0,1.0
349,349.jpg,0.0,0.0,0.0,7.0,3.0
350,350.jpg,0.0,1.0,0.0,2.0,3.0
351,351.jpg,1.0,1.0,1.0,2.0,4.0
352,352.jpg,1.0,0.0,0.0,9.0,2.0
353,353.jpg,0.0,0.0,0.0,13.0,4.0
354,354.jpg,0.0,1.0,0.0,2.0,1.0
355,355.jpg,0.0,1.0,0.0,1.0,1.0
356,356.jpg,1.0,1.0,1.0,1.0,2.0
357,357.jpg,1.0,1.0,1.0,2.0,1.0
358,358.jpg,0.0,0.0,0.0,6.0,4.0
359,359.jpg,0.0,0.0,0.0,10.0,2.0
360,360.jpg,1.0,1.0,1.0,10.0,2.0
361,361.jpg,1.0,1.0,1.0,4.0,1.0
362,362.jpg,1.0,0.0,0.0,9.0,1.0
363,363.jpg,1.0,1.0,1.0,4.0,0.0
364,364.jpg,1.0,0.0,0.0,9.0,1.0
365,365.jpg,0.0,0.0,0.0,19.0,0.0
366,366.jpg,1.0,1.0,1.0,6.0,1.0
367,367.jpg,1.0,1.0,1.0,7.0,4.0
368,368.jpg,0.0,1.0,0.0,15.0,1.0
370,370.jpg,0.0,0.0,0.0,4.0,0.0
371,371.jpg,0.0,0.0,0.0,11.0,3.0
372,372.jpg,0.0,1.0,0.0,1.0,3.0
373,373.jpg,0.0,1.0,0.0,1.0,0.0
374,374.jpg,0.0,0.0,0.0,11.0,4.0
375,375.jpg,1.0,1.0,1.0,3.0,4.0
376,376.jpg,1.0,1.0,1.0,7.0,4.0
377,377.jpg,1.0,0.0,0.0,11.0,1.0
378,378.jpg,0.0,0.0,0.0,18.0,3.0
379,379.jpg,1.0,0.0,0.0,4.0,4.0
380,380.jpg,1.0,1.0,1.0,4.0,0.0
382,382.jpg,1.0,1.0,1.0,1.0,1.0
383,383.jpg,0.0,1.0,0.0,5.0,4.0
384,384.jpg,0.0,0.0,0.0,5.0,2.0
385,385.jpg,1.0,1.0,1.0,11.0,4.0
386,386.jpg,1.0,1.0,1.0,3.0,3.0
387,387.jpg,0.0,1.0,0.0,15.0,4.0
389,389.jpg,0.0,1.0,0.0,6.0,1.0
390,390.jpg,0.0,0.0,0.0,12.0,2.0
391,391.jpg,0.0,0.0,0.0,19.0,4.0
392,392.jpg,1.0,1.0,1.0,7.0,2.0
393,393.jpg,1.0,0.0,0.0,7.0,2.0
395,395.jpg,0.0,0.0,0.0,4.0,0.0
396,396.jpg,1.0,1.0,1.0,10.0,0.0
397,397.jpg,0.0,1.0,0.0,6.0,0.0
398,398.jpg,1.0,0.0,0.0,2.0,3.0
399,399.jpg,1.0,1.0,1.0,10.0,3.0
400,400.jpg,1.0,0.0,0.0,6.0,4.0
401,401.jpg,1.0,1.0,1.0,7.0,0.0
402,402.jpg,0.0,1.0,0.0,6.0,4.0
403,403.jpg,0.0,0.0,0.0,24.0,0.0
404,404.jpg,1.0,1.0,1.0,1.0,0.0
405,405.jpg,1.0,1.0,1.0,17.0,1.0
406,406.jpg,0.0,0.0,0.0,4.0,2.0
407,407.jpg,0.0,0.0,0.0,7.0,4.0
408,408.jpg,1.0,0.0,0.0,16.0,0.0
409,409.jpg,0.0,0.0,0.0,7.0,3.0
410,410.jpg,0.0,1.0,0.0,1.0,3.0
411,411.jpg,0.0,0.0,0.0,11.0,3.0
412,412.jpg,1.0,0.0,0.0,10.0,3.0
413,413.jpg,1.0,0.0,0.0,4.0,3.0
414,414.jpg,1.0,0.0,0.0,9.0,2.0
415,415.jpg,1.0,1.0,1.0,10.0,4.0
416,416.jpg,0.0,0.0,0.0,8.0,0.0
417,417.jpg,1.0,0.0,0.0,17.0,2.0
419,419.jpg,1.0,0.0,0.0,6.0,4.0
421,421.jpg,1.0,1.0,1.0,4.0,3.0
422,422.jpg,1.0,0.0,0.0,3.0,0.0
423,423.jpg,0.0,0.0,0.0,15.0,4.0
426,426.jpg,0.0,0.0,0.0,15.0,3.0
427,427.jpg,0.0,0.0,0.0,7.0,0.0
428,428.jpg,1.0,0.0,0.0,9.0,2.0
429,429.jpg,1.0,0.0,0.0,12.0,4.0
430,430.jpg,1.0,0.0,0.0,4.0,3.0
432,432.jpg,0.0,1.0,0.0,2.0,0.0
433,433.jpg,0.0,0.0,0.0,20.0,4.0
434,434.jpg,1.0,1.0,1.0,10.0,4.0
436,436.jpg,0.0,0.0,0.0,18.0,2.0
437,437.jpg,1.0,1.0,1.0,8.0,1.0
438,438.jpg,1.0,0.0,0.0,4.0,4.0
439,439.jpg,0.0,1.0,0.0,2.0,1.0
442,442.jpg,1.0,1.0,1.0,7.0,1.0
443,443.jpg,0.0,0.0,0.0,11.0,1.0
444,444.jpg,1.0,0.0,0.0,11.0,2.0
445,445.jpg,1.0,1.0,1.0,1.0,4.0
446,446.jpg,1.0,1.0,1.0,3.0,4.0
447,447.jpg,0.0,0.0,0.0,7.0,0.0
448,448.jpg,1.0,1.0,1.0,1.0,1.0
449,449.jpg,0.0,0.0,0.0,4.0,2.0
450,450.jpg,1.0,0.0,0.0,9.0,0.0
451,451.jpg,1.0,0.0,0.0,22.0,3.0
452,452.jpg,1.0,0.0,0.0,2.0,0.0
453,453.jpg,1.0,0.0,0.0,11.0,1.0
454,454.jpg,1.0,0.0,0.0,9.0,0.0
455,455.jpg,0.0,0.0,0.0,15.0,2.0
456,456.jpg,1.0,1.0,1.0,3.0,4.0
457,457.jpg,1.0,0.0,0.0,26.0,2.0
458,458.jpg,1.0,1.0,1.0,15.0,0.0
459,459.jpg,0.0,0.0,0.0,22.0,1.0
460,460.jpg,0.0,1.0,0.0,18.0,2.0
461,461.jpg,0.0,0.0,0.0,15.0,2.0
462,462.jpg,1.0,0.0,0.0,16.0,0.0
463,463.jpg,0.0,1.0,0.0,1.0,4.0
464,464.jpg,1.0,1.0,1.0,4.0,0.0
465,465.jpg,0.0,0.0,0.0,6.0,3.0
466,466.jpg,1.0,1.0,1.0,5.0,3.0
467,467.jpg,0.0,0.0,0.0,22.0,1.0
468,468.jpg,1.0,1.0,1.0,7.0,3.0
469,469.jpg,0.0,0.0,0.0,15.0,4.0
470,470.jpg,1.0,1.0,1.0,7.0,3.0
471,471.jpg,0.0,0.0,0.0,15.0,2.0
472,472.jpg,1.0,1.0,1.0,4.0,0.0
473,473.jpg,0.0,0.0,0.0,5.0,2.0
474,474.jpg,1.0,0.0,0.0,17.0,0.0
475,475.jpg,1.0,1.0,1.0,12.0,2.0
476,476.jpg,0.0,0.0,0.0,29.0,0.0
477,477.jpg,1.0,1.0,1.0,1.0,0.0
478,478.jpg,0.0,1.0,0.0,8.0,4.0
479,479.jpg,0.0,0.0,0.0,2.0,1.0
480,480.jpg,1.0,1.0,1.0,12.0,2.0
481,481.jpg,0.0,1.0,0.0,7.0,2.0
482,482.jpg,0.0,0.0,0.0,4.0,2.0
484,484.jpg,0.0,0.0,0.0,6.0,2.0
485,485.jpg,0.0,0.0,0.0,26.0,4.0
486,486.jpg,1.0,1.0,1.0,3.0,3.0
487,487.jpg,1.0,1.0,1.0,9.0,4.0
488,488.jpg,1.0,0.0,0.0,13.0,2.0
489,489.jpg,0.0,1.0,0.0,6.0,0.0
490,490.jpg,1.0,1.0,1.0,16.0,4.0
491,491.jpg,0.0,0.0,0.0,7.0,2.0
493,493.jpg,1.0,1.0,1.0,12.0,3.0
494,494.jpg,1.0,1.0,1.0,3.0,0.0
495,495.jpg,1.0,1.0,1.0,3.0,4.0
496,496.jpg,0.0,0.0,0.0,7.0,1.0
497,497.jpg,0.0,0.0,0.0,8.0,4.0
498,498.jpg,1.0,0.0,0.0,9.0,3.0
499,499.jpg,0.0,0.0,0.0,13.0,0.0
500,500.jpg,1.0,0.0,0.0,2.0,0.0
501,501.jpg,0.0,1.0,0.0,13.0,2.0
502,502.jpg,1.0,1.0,1.0,2.0,2.0
503,503.jpg,0.0,1.0,0.0,5.0,4.0
504,504.jpg,1.0,0.0,0.0,13.0,0.0
506,506.jpg,1.0,1.0,1.0,3.0,2.0
507,507.jpg,1.0,1.0,1.0,1.0,3.0
508,508.jpg,0.0,0.0,0.0,19.0,2.0
509,509.jpg,1.0,0.0,0.0,11.0,0.0
510,510.jpg,0.0,0.0,0.0,27.0,0.0
511,511.jpg,1.0,0.0,0.0,5.0,2.0
513,513.jpg,0.0,0.0,0.0,11.0,2.0
514,514.jpg,0.0,0.0,0.0,9.0,4.0
515,515.jpg,1.0,0.0,0.0,11.0,1.0
516,516.jpg,0.0,1.0,0.0,5.0,0.0
517,517.jpg,1.0,0.0,0.0,8.0,4.0
518,518.jpg,0.0,1.0,0.0,10.0,3.0
519,519.jpg,1.0,1.0,1.0,12.0,0.0
520,520.jpg,0.0,1.0,0.0,8.0,3.0
521,521.jpg,1.0,1.0,1.0,1.0,3.0
522,522.jpg,1.0,1.0,1.0,15.0,0.0
523,523.jpg,0.0,0.0,0.0,9.0,0.0
524,524.jpg,0.0,1.0,0.0,9.0,4.0
525,525.jpg,1.0,0.0,0.0,8.0,3.0
527,527.jpg,1.0,0.0,0.0,25.0,0.0
528,528.jpg,0.0,0.0,0.0,18.0,1.0
529,529.jpg,1.0,1.0,1.0,6.0,3.0
530,530.jpg,1.0,0.0,0.0,5.0,4.0
531,531.jpg,0.0,0.0,0.0,3.0,2.0
